# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 7.300000e+00
# lRef        : 3.190000e-01
# Aref        : 1.595000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	-6.388357e+02	1.236279e+03	-1.875115e+03	-3.308450e+03	5.910478e+03	-9.218927e+03	7.564703e+03	1.555697e+03	-3.003930e+02	2.207599e-17	-3.003930e+02	3.003930e+02
2             	-1.301041e+03	3.521834e+03	-4.822875e+03	-8.873207e+03	1.441944e+04	-2.329265e+04	1.885605e+04	4.172355e+03	-6.117750e+02	1.362377e-15	-6.117750e+02	6.117750e+02
3             	-2.370128e+02	7.690684e+02	-1.006081e+03	-1.887576e+03	4.751979e+03	-6.639555e+03	5.695767e+03	8.875748e+02	-1.114480e+02	5.280357e-16	-1.114480e+02	1.114480e+02
4             	1.383863e+03	-3.893629e+03	5.277492e+03	9.751959e+03	-1.315229e+04	2.290425e+04	-1.802827e+04	-4.585561e+03	6.507191e+02	-9.517388e-16	6.507191e+02	-6.507191e+02
5             	1.610266e+03	-5.522086e+03	7.132352e+03	1.345588e+04	-1.887008e+04	3.232596e+04	-2.559802e+04	-6.327219e+03	7.571784e+02	-1.488050e-15	7.571784e+02	-7.571784e+02
6             	-1.057969e+03	-8.566771e+03	7.508803e+03	1.709369e+04	-1.585366e+04	3.294735e+04	-2.440050e+04	-8.037787e+03	-4.974775e+02	-7.203938e-17	-4.974775e+02	4.974775e+02
7             	-8.176558e+03	1.456889e+04	-2.274545e+04	-3.967758e+04	7.000073e+04	-1.096783e+05	8.983951e+04	1.865717e+04	-3.844777e+03	8.136163e-15	-3.844777e+03	3.844777e+03
8             	-6.360612e+03	1.486578e+04	-2.122639e+04	-3.837801e+04	5.766691e+04	-9.604492e+04	7.685592e+04	1.804608e+04	-2.990883e+03	6.123454e-15	-2.990883e+03	2.990883e+03
9             	3.166461e+03	2.896730e+04	-2.580084e+04	-5.823678e+04	4.347186e+04	-1.017086e+05	7.259025e+04	2.738407e+04	1.488931e+03	-8.979105e-16	1.488931e+03	-1.488931e+03
10            	2.397169e+04	2.671732e+04	-2.745632e+03	-3.132894e+04	-5.992459e+04	2.859566e+04	-4.426012e+04	1.473148e+04	1.127195e+04	-2.388118e-14	1.127195e+04	-1.127195e+04
